loan_id,facility_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,4
10,1
11,1
12,1
13,1
14,1
15,1
16,3
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,4
34,1
35,1
36,1
37,4
38,4
39,4
40,4
41,4
42,4
43,3
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,2
53,4
54,4
55,1
56,4
57,4
58,1
59,4
60,4
61,4
62,2
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,2
72,4
73,4
74,3
75,3
76,3
77,3
78,3
79,3
80,2
81,3
82,3
83,2
84,5
85,2
86,3
87,3
88,3
89,2
90,2
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,2
103,2
104,3
105,3
106,2
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,2
117,2
118,3
119,3
120,2
121,2
122,3
123,3
124,3
125,3
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,5
142,5
143,6
144,2
145,5
146,5
147,5
148,5
149,6
150,5
151,5
152,5
153,6
154,5
155,6
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,6
175,5
176,6
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,7
201,7
202,7
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,6
216,7
217,7
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,8
231,8
232,8
233,8
234,8
235,8
236,8
237,7
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,8
252,8
253,10
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,10
266,10
267,8
268,8
269,8
270,8
271,8
272,8
273,8
274,8
275,10
276,10
277,10
278,10
279,10
280,10
281,10
282,10
283,10
284,10
285,10
286,8
287,10
288,10
289,10
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,10
300,10
301,10
302,10
303,10
304,10
305,10
306,10
307,10
308,10
309,10
310,10
311,12
312,10
313,12
314,12
315,12
316,12
317,12
318,12
319,9
320,12
321,10
322,12
323,1
324,12
325,12
326,12
327,12
328,10
329,12
330,12
331,12
332,12
333,12
334,12
335,12
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,12
346,12
347,12
348,9
349,9
350,9
351,12
352,9
353,11
354,9
355,9
356,9
357,9
358,9
359,9
360,9
361,9
362,9
363,9
364,9
365,9
366,9
367,9
368,9
369,9
370,9
371,9
372,9
373,9
374,9
375,9
376,9
377,9
378,9
379,9
380,9
381,9
382,9
383,9
384,9
385,9
386,11
387,11
388,11
389,11
390,11
391,11
392,11
393,13
394,9
395,13
396,11
397,11
398,11
399,11
400,11
401,11
402,13
403,11
404,11
405,11
406,13
407,11
408,11
409,11
410,13
411,11
412,11
413,11
414,11
415,11
416,11
417,11
418,11
419,11
420,11
421,11
422,13
423,13
424,11
